departamento,municipio,fecha_hecho,anio,mes,dia,trimestre,anio_mes,dia_semana,es_fin_de_semana,genero,es_mujer,grupo_etario,grupo_edad_simple,armas_medios,arma_categoria,categoria,subtipo_delito,cantidad,es_zona_metro
SANTANDER,FLORIÁN,2017-11-30,2017,11,30,4,2017-11,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,GUAVATÁ,2018-03-22,2018,3,22,1,2018-03,3,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2017-11-03,2017,11,3,4,2017-11,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,MÁLAGA,2018-04-14,2018,4,14,2,2018-04,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2017-12-28,2017,12,28,4,2017-12,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2017-12-27,2017,12,27,4,2017-12,2,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2017-12-13,2017,12,13,4,2017-12,2,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,PUERTO WILCHES,2017-10-02,2017,10,2,4,2017-10,0,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,TONA,2018-04-10,2018,4,10,2,2018-04,1,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2018-02-16,2018,2,16,1,2018-02,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,GIRÓN,2018-03-31,2018,3,31,1,2018-03,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,1
SANTANDER,BARRANCABERMEJA,2017-12-23,2017,12,23,4,2017-12,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BOLÍVAR,2018-03-05,2018,3,5,1,2018-03,0,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CURITÍ,2018-04-01,2018,4,1,2,2018-04,6,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SIMACOTA,2018-04-10,2018,4,10,2,2018-04,1,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,PUERTO WILCHES,2018-03-09,2018,3,9,1,2018-03,4,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,ZAPATOCA,2018-05-15,2018,5,15,2,2018-05,1,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,TONA,2018-05-02,2018,5,2,2,2018-05,2,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,RIONEGRO,2018-05-18,2018,5,18,2,2018-05,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CIMITARRA,2017-10-28,2017,10,28,4,2017-10,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,MATANZA,2018-04-18,2018,4,18,2,2018-04,2,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SABANA DE TORRES,2018-05-17,2018,5,17,2,2018-05,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BUCARAMANGA (CT),2018-05-25,2018,5,25,2,2018-05,4,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,1
SANTANDER,BARRANCABERMEJA,2017-06-30,2017,6,30,2,2017-06,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,EL PEÑÓN,2017-04-10,2017,4,10,2,2017-04,0,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2017-07-18,2017,7,18,3,2017-07,1,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2017-05-26,2017,5,26,2,2017-05,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARBOSA,2017-08-17,2017,8,17,3,2017-08,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,LOS SANTOS,2017-06-18,2017,6,18,2,2017-06,6,1,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BOLÍVAR,2017-07-12,2017,7,12,3,2017-07,2,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2017-08-06,2017,8,6,3,2017-08,6,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BOLÍVAR,2017-05-15,2017,5,15,2,2017-05,0,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,LEBRIJA,2017-09-03,2017,9,3,3,2017-09,6,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,1
SANTANDER,BARRANCABERMEJA,2017-08-28,2017,8,28,3,2017-08,0,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2017-08-23,2017,8,23,3,2017-08,2,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CIMITARRA,2017-08-16,2017,8,16,3,2017-08,2,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,LEBRIJA,2017-09-02,2017,9,2,3,2017-09,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,1
SANTANDER,PUERTO WILCHES,2017-05-19,2017,5,19,2,2017-05,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SABANA DE TORRES,2017-07-13,2017,7,13,3,2017-07,3,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CIMITARRA,2017-07-21,2017,7,21,3,2017-07,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,PUERTO WILCHES,2017-09-14,2017,9,14,3,2017-09,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SUAITA,2017-07-13,2017,7,13,3,2017-07,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,GIRÓN,2017-10-01,2017,10,1,4,2017-10,6,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,1
SANTANDER,BARRANCABERMEJA,2017-09-26,2017,9,26,3,2017-09,1,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CHIMA,2017-09-23,2017,9,23,3,2017-09,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,EL CARMEN DE CHUCURÍ,2017-08-11,2017,8,11,3,2017-08,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2017-07-14,2017,7,14,3,2017-07,4,0,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,RIONEGRO,2017-08-18,2017,8,18,3,2017-08,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SUCRE,2017-10-21,2017,10,21,4,2017-10,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SANTA HELENA DEL OPÓN,2017-07-01,2017,7,1,3,2017-07,5,1,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CIMITARRA,2017-10-07,2017,10,7,4,2017-10,5,1,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,VÉLEZ,2017-10-05,2017,10,5,4,2017-10,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,CALIFORNIA,2017-09-14,2017,9,14,3,2017-09,3,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,SUAITA,2017-10-22,2017,10,22,4,2017-10,6,1,FEMENINO,1,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BOLÍVAR,2017-10-27,2017,10,27,4,2017-10,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BOLÍVAR,2017-09-27,2017,9,27,3,2017-09,2,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
SANTANDER,BARRANCABERMEJA,2017-11-03,2017,11,3,4,2017-11,4,0,MASCULINO,0,ADULTOS,ADULTO,SIN EMPLEO DE ARMAS,SIN_ARMA,HURTO,HURTO ABIGEATO,1,0
