departamento,municipio,fecha_hecho,anio,mes,dia,trimestre,anio_mes,dia_semana,es_fin_de_semana,genero,es_mujer,grupo_etario,grupo_edad_simple,armas_medios,arma_categoria,categoria,subtipo_delito,cantidad,es_zona_metro
SANTANDER,GIRÓN,2015-02-23,2015,2,23,1,2015-02,0,0,MASCULINO,0,MENORES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,1,1
SANTANDER,BUCARAMANGA (CT),2015-02-12,2015,2,12,1,2015-02,3,0,MASCULINO,0,ADOLESCENTES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,1,1
SANTANDER,BARBOSA,2011-05-06,2011,5,6,2,2011-05,4,0,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,1,0
SANTANDER,BARRANCABERMEJA,2015-02-28,2015,2,28,1,2015-02,5,1,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,1,0
SANTANDER,BUCARAMANGA (CT),2015-01-05,2015,1,5,1,2015-01,0,0,FEMENINO,1,ADOLESCENTES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,1,1
SANTANDER,FLORIDABLANCA,2015-02-24,2015,2,24,1,2015-02,1,0,FEMENINO,1,MENORES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,1,1
SANTANDER,PIEDECUESTA,2015-02-25,2015,2,25,1,2015-02,2,0,FEMENINO,1,ADOLESCENTES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,1,1
SANTANDER,GIRÓN,2015-03-02,2015,3,2,1,2015-03,0,0,MASCULINO,0,MENORES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,1,1
SANTANDER,FLORIDABLANCA,2015-03-03,2015,3,3,1,2015-03,1,0,FEMENINO,1,ADOLESCENTES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,1,1
SANTANDER,FLORIDABLANCA,2015-03-06,2015,3,6,1,2015-03,4,0,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,1,1
SANTANDER,FLORIDABLANCA,2015-02-22,2015,2,22,1,2015-02,6,1,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,1,1
SANTANDER,BUCARAMANGA (CT),2015-02-11,2015,2,11,1,2015-02,2,0,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,1,1
SANTANDER,PIEDECUESTA,2015-03-01,2015,3,1,1,2015-03,6,1,FEMENINO,1,ADOLESCENTES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,1,1
SANTANDER,FLORIDABLANCA,2015-03-05,2015,3,5,1,2015-03,3,0,FEMENINO,1,ADOLESCENTES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,1,1
SANTANDER,GIRÓN,2015-03-10,2015,3,10,1,2015-03,1,0,FEMENINO,1,ADOLESCENTES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,1,1
SANTANDER,BUCARAMANGA (CT),2015-03-09,2015,3,9,1,2015-03,0,0,FEMENINO,1,ADOLESCENTES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,1,1
SANTANDER,SABANA DE TORRES,2015-03-08,2015,3,8,1,2015-03,6,1,MASCULINO,0,MENORES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,1,0
SANTANDER,FLORIDABLANCA,2015-03-10,2015,3,10,1,2015-03,1,0,FEMENINO,1,ADULTOS,ADULTO,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,1,1
SANTANDER,SABANA DE TORRES,2015-03-03,2015,3,3,1,2015-03,1,0,FEMENINO,1,ADOLESCENTES,MENOR_EDAD,CONTUNDENTES,ARMA_CONTUNDENTE,DELITOS_SEXUALES,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),1,0
